SPIRIT1_a_W70,SPIRIT1_b_W70,SPIRIT1_c_W70,SPIRIT1_d_W70,SPIRIT2_a_W70,SPIRIT2_b_W70,SPIRIT2_c_W70,SPIRIT2_d_W70
Never,Never,Weekly,Never,Daily,Weekly,Weekly,Daily
Never,Never,Never,Never,Weekly,Never,Never,Never
Less than monthly,Less than monthly,Less than monthly,Less than monthly,Monthly,Monthly,Monthly,Monthly
Less than monthly,Never,Daily,Daily,Daily,Daily,Daily,Daily
Less than monthly,Never,Daily,Daily,Daily,Less than monthly,Weekly,Daily
Never,Never,Daily,Weekly,Daily,Never,Daily,Daily
Never,Never,Daily,Never,Never,Never,Less than monthly,Daily
Monthly,Never,Daily,Weekly,Daily,Weekly,Weekly,Weekly
Never,Never,Daily,Daily,Weekly,Monthly,Never,Never
Monthly,Weekly,Daily,Daily,Daily,Never,Weekly,Daily
Never,Never,Weekly,Less than monthly,Monthly,Never,Daily,Weekly
Daily,Daily,Daily,Daily,Daily,Daily,Weekly,Weekly
Daily,Never,Daily,Daily,Daily,Weekly,Less than monthly,Daily
Daily,Less than monthly,Daily,Daily,Daily,Daily,Weekly,Daily
Daily,Never,Daily,Daily,Weekly,Less than monthly,Weekly,Daily
Never,Never,Less than monthly,Never,Never,Never,Never,Daily
Never,Never,Monthly,Monthly,Daily,Monthly,Daily,Daily
Never,Never,Daily,Daily,Weekly,Monthly,Weekly,Daily
Never,Never,Daily,Daily,Never,Never,Never,Daily
Never,Never,Daily,Weekly,Daily,Daily,Daily,Daily
Never,Never,Daily,Weekly,Never,Never,Monthly,Daily
Never,Never,Less than monthly,Less than monthly,Daily,Daily,Daily,Daily
Less than monthly,Weekly,Daily,Weekly,Never,Never,Weekly,Daily
Never,Never,Weekly,Weekly,Daily,Never,Less than monthly,Daily
Never,Never,Weekly,Weekly,Daily,Monthly,Monthly,Monthly
Never,Never,Daily,Daily,Never,Never,Weekly,Daily
Never,Never,Daily,Daily,Daily,Daily,Daily,Daily
Monthly,Never,Daily,Daily,Never,Never,Daily,Daily
Daily,Never,Daily,Daily,Daily,Daily,Daily,Daily
Monthly,Never,Daily,Weekly,Weekly,Never,Daily,Daily
Daily,Daily,Weekly,Daily,Daily,Weekly,Daily,Daily
Never,Never,Daily,Weekly,Daily,Weekly,Daily,Daily
Never,Never,Daily,Daily,Less than monthly,Never,Weekly,Daily
Never,Never,Less than monthly,Never,Daily,Daily,Daily,Daily
Never,Never,Monthly,Daily,Never,Never,Never,Daily
Less than monthly,Never,Daily,Daily,Never,Never,Weekly,Daily
Never,Never,Daily,Weekly,Never,Never,Daily,Daily
Never,Never,Daily,Daily,Daily,Daily,Weekly,Never
Never,Never,Daily,Daily,Less than monthly,Never,Weekly,Weekly
Weekly,Never,Weekly,Weekly,Daily,Daily,Weekly,Daily
Never,Weekly,Daily,Daily,Never,Never,Weekly,Monthly
Never,Never,Daily,Less than monthly,Daily,Daily,Daily,Daily
Never,Refused,Daily,Monthly,Daily,Weekly,Monthly,Never
Never,Never,Daily,Daily,Daily,Daily,Weekly,Never
Never,Never,Less than monthly,Never,Daily,Weekly,Less than monthly,Daily
Never,Never,Daily,Never,Refused,Refused,Refused,Refused
Daily,Never,Daily,Daily,Weekly,Never,Daily,Daily
Never,Never,Daily,Weekly,Never,Never,Weekly,Daily
Never,Never,Daily,Less than monthly,Daily,Daily,Weekly,Daily
Monthly,Weekly,Daily,Daily,Weekly,Never,Daily,Daily
Never,Never,Weekly,Less than monthly,Less than monthly,Never,Daily,Daily
Less than monthly,Never,Daily,Daily,Less than monthly,Less than monthly,Daily,Daily
Never,Never,Daily,Monthly,Weekly,Never,Daily,Daily
Never,Never,Daily,Never,Never,Never,Less than monthly,Weekly
Never,Never,Daily,Daily,Daily,Daily,Daily,Daily
Less than monthly,Never,Less than monthly,Less than monthly,Never,Never,Weekly,Daily
Never,Never,Weekly,Less than monthly,Never,Never,Less than monthly,Daily
Never,Never,Daily,Daily,Never,Never,Daily,Daily
Daily,Never,Daily,Less than monthly,Daily,Never,Daily,Daily
Never,Never,Daily,Daily,Daily,Daily,Weekly,Weekly
Never,Never,Daily,Daily,Never,Never,Weekly,Weekly
Never,Never,Daily,Weekly,Daily,Weekly,Daily,Daily
Never,Never,Never,Never,Never,Never,Never,Daily
Never,Never,Daily,Daily,Never,Never,Weekly,Daily
Never,Never,Never,Never,Less than monthly,Never,Less than monthly,Daily
Less than monthly,Never,Daily,Weekly,Daily,Daily,Weekly,Daily
Never,Never,Daily,Weekly,Daily,Daily,Daily,Daily
Never,Never,Daily,Daily,Monthly,Never,Monthly,Daily
